customer_id,first_name,last_name,email,phone,address,city,country,registration_date,birth_date,gender,customer_segment
34,Magdalena,Ibarra,nathan25@example.com,+34872 633 541,"4051 Dixon Points Suite 486, West Aprilfort, IL 14923",New Colleen,Algeria,2021-10-19,1958-08-11,F,Basic
35,Bernard,Nielsen,martinezstephanie@example.org,+1-274-825-0665x89496,"3324 Kenneth Avenue Apt. 109, Steinfort, LA 87545",Codyfurt,El Salvador,2020-09-12,1980-05-03,O,Standard
36,Alberto,Gallego,valloriana@example.org,(555)989-1164,"93317 Brett Field Suite 367, New Katieside, MO 39043",Estradaland,Mozambique,2023-03-22,1991-03-02,F,Basic
37,Encarna,Smith,beltranciro@example.com,+34901044699,"USCGC Rios, FPO AA 92838",Gabriellemouth,Grecia,2023-04-14,1985-12-07,F,Standard
38,Ramón,Nelson,mitchellblackburn@example.org,+34975 93 96 40,"Plaza Águeda Benavides 75, Las Palmas, 18459",La Rioja,Pakistan,2020-10-15,1958-01-08,F,Basic
39,Andrea,Campoy,piercepatricia@example.net,+34 942 10 14 99,"3686 Zachary Harbor Apt. 844, East Josephstad, NE 17048",Barcelona,Myanmar,2020-12-01,1962-11-02,O,Premium
40,Efraín,Brooks,knunez@example.com,(408)754-6555x59838,"84665 Eric Junction Suite 081, New Mary, OR 92116",Lyonsborough,Turks and Caicos Islands,2024-12-10,1989-10-13,M,Premium
41,Kristina,Gillespie,ymayoral@example.net,(285)591-8842x043,"Unit 9797 Box 3434, DPO AP 06568",Soria,Antigua and Barbuda,2020-11-05,1992-09-29,O,Premium
42,Ileana,Lara,fecheverria@example.com,+34854 163 507,"PSC 9129, Box 4560, APO AA 24416",Sevilla,Iraq,2024-11-13,1979-09-17,F,Premium
43,Ethan,Bejarano,teresajohnson@example.org,+1-590-279-1371x0958,"Avenida de María Carmen Grau 1 Apt. 96 , Zamora, 08982",Sevilla,Congo,2020-06-26,1994-08-24,M,Standard
44,Modesto,Graham,georgereid@example.org,001-929-578-0229x531,"Glorieta de Encarnacion Gisbert 706, Barcelona, 35546",Álava,San Marino,2021-08-18,1956-06-08,F,Premium
45,Pánfilo,Arranz,izquierdojose-carlos@example.net,950-846-8999x562,"Cuesta de Luciana Valls 97, Asturias, 39762",Lisamouth,Bhutan,2024-10-17,1994-06-02,M,Basic
46,Reyna,Jones,maximianopons@example.com,+34 876686378,"Acceso de Damián Alegria 807, Badajoz, 21568",Kramerview,Paraguay,2021-03-12,2003-12-03,F,Premium
47,John,Davis,cmartinez@example.net,+34872348342,"0880 Scott Spring Suite 538, East Kimberly, OH 72654",Navarra,Islas Salomón,2021-01-29,1949-07-17,O,Basic
48,Pastor,Rivera,laurenwallace@example.net,+34986 64 00 69,"Plaza de Efraín Tur 63, Cuenca, 22603",Valencia,United Kingdom,2024-02-25,1948-03-05,M,Standard
49,Tony,Chavez,fosterkristin@example.com,+34 901045140,"Pasaje de Gregorio Carrión 74, Sevilla, 26761",Vizcaya,Nicaragua,2024-04-03,2006-04-09,M,Basic
50,Cody,Otero,roblesjay@example.com,(593)457-6686x6140,"Calle de Mayte Villanueva 164 Puerta 7 , Segovia, 12223",Wilsonport,Afganistán,2021-06-12,1966-09-26,M,Basic
51,Tecla,Morcillo,herbertobrien@example.com,(957)463-6721x660,"C. de Fidela Carrasco 80 Piso 1 , Girona, 38780",Davidborough,Turks and Caicos Islands,2021-08-12,1974-05-30,M,Standard
52,Maricruz,Brown,pavonreyna@example.org,929-448-1408x647,"Paseo Eloy Raya 26, Girona, 05561",Málaga,Romania,2024-09-12,1961-01-03,F,Standard
53,Susana,Oneill,daniel62@example.org,+34 945 22 73 62,"Cuesta Julián Galan 74, Castellón, 12603",Lake Timothy,Ghana,2022-05-26,1985-10-03,O,Basic
54,Verónica,Catalá,stephanieescobar@example.net,001-306-590-7541x28997,"Vial Omar Benito 39 Puerta 7 , Pontevedra, 06218",East Christopherberg,Granada,2023-05-31,1994-08-10,M,Premium
55,Brenda,Vilanova,violeta34@example.net,+34924 038 421,"Camino Francisco Javier Reig 6 Puerta 0 , Huelva, 45905",Larryton,Western Sahara,2022-01-17,1971-02-01,F,Basic
56,Jonathan,Harris,vmoles@example.org,557.650.0018x615,"318 Howard Shores Apt. 486, Lake Karen, OK 38206",Wallerburgh,Venezuela,2021-05-30,1991-09-11,F,Standard
57,Bailey,Morris,pdomingo@example.org,(541)396-9413x72915,"30558 Kenneth Gardens Suite 092, Kristenview, OR 12757",Córdoba,Saint Vincent and the Grenadines,2024-08-26,1973-12-30,F,Premium
58,Evelia,Jackson,rogelio86@example.org,967.974.7496,"PSC 5751, Box 1302, APO AE 87988",Adamston,Estonia,2022-11-23,1992-05-31,F,Premium
59,Manuel,Ferguson,clarkthomas@example.org,5023840688,"Plaza Catalina Madrid 24 Piso 5 , Lleida, 28638",Moorehaven,Guernsey,2020-09-28,1981-12-30,F,Basic
60,Kaitlyn,Salmerón,ursula18@example.net,001-793-914-0280,"Calle de Tatiana Nuñez 15, Santa Cruz de Tenerife, 47229",Christianburgh,Tonga,2020-11-07,2001-07-15,F,Premium
61,Tonya,Amor,paniaguaisidro@example.com,+34 882 58 51 27,"8165 Simmons Branch Suite 844, North Traciville, IN 19206",South Rachelmouth,Haití,2022-02-08,1990-02-04,O,Basic
62,Teobaldo,Catalá,seth43@example.org,(811)439-3827,"6925 Jennifer Street, New Scottfort, MA 73189",Jeremiahhaven,Maldivas,2021-03-12,1979-12-06,O,Standard
63,Jennifer,Águila,ccarpenter@example.net,647.697.2016x773,"918 Stephen Corner, New Katelynville, PW 09449",Lugo,Zimbabwe,2023-12-25,1980-06-22,M,Basic
64,Macario,Valentine,meghan02@example.com,+34975 88 06 81,"683 Brown Summit Apt. 241, Port Monique, NH 55204",Girona,Sierra Leona,2023-11-12,1996-02-01,F,Premium
65,Monica,Garriga,mariano83@example.com,363-504-9464x901,"18762 Robertson Stream, Lindsayfort, OH 66171",New Dianahaven,Burundi,2025-05-08,2006-04-01,M,Standard
66,Lori,Keller,jenkinspatricia@example.com,001-437-817-2013x0835,"757 Meghan Manors Apt. 735, New Joshua, VA 72776",Albacete,Guyana,2023-01-26,1973-11-12,M,Premium
67,Laura,Vendrell,michaeloliver@example.com,+1-665-644-4641x5915,"Vial de Pánfilo Aznar 552 Apt. 03 , Cantabria, 22814",Whitneyville,España,2023-07-02,1953-04-07,O,Standard
68,Soledad,George,tmartinez@example.net,+34 704 54 53 76,"Pasadizo Graciela Mariscal 74, Palencia, 37113",Lake Richard,Gambia,2022-01-01,2001-10-19,O,Standard
69,Gilberto,Coll,carinavicente@example.com,9613060981,"2820 Macias Mission, Mckinneyhaven, AZ 22378",East Thomas,Colombia,2022-04-22,1987-04-16,O,Premium
70,Michael,Richard,mark51@example.net,+34 924 321 146,"Avenida Dani Caparrós 63 Apt. 28 , Baleares, 17094",Zamora,Guernsey,2021-03-20,1967-11-02,F,Standard
71,Joshua,Tormo,ashleyholland@example.net,+34846 16 50 11,"388 Denise Plains Apt. 909, Abigailland, VT 67956",Shawfurt,Germany,2023-01-05,1948-06-13,M,Premium
72,Prudencia,Martí,nreid@example.com,9254853461,"94339 Jordan Pine Suite 535, Rhodesfurt, NM 63125",West Kevinstad,Hong Kong,2022-04-02,1968-11-13,M,Basic
73,Daniel,Morris,slittle@example.com,+34984 245 214,"Via Manu Somoza 6 Apt. 52 , Valladolid, 21248",South Ross,Guyana,2020-09-17,1973-03-18,F,Standard
74,Derek,Segovia,sofiaestevez@example.com,+34 943 245 512,"328 Teresa Parks Suite 019, Port Bethany, MH 95634",Pamelahaven,Santa Lucía,2024-10-02,1979-03-29,F,Premium
75,Jaime,Hoover,walter41@example.net,6059722246,"Vial Albino Gisbert 542, Tarragona, 25188",West Abigailmouth,Denmark,2020-09-07,1953-11-10,O,Standard
76,Salomé,Roman,rutharnau@example.org,329-354-8481,"Avenida de Gerardo Moll 19 Puerta 6 , Valladolid, 31403",Poolefort,Sao Tome and Principe,2020-11-25,2001-01-12,O,Standard
77,César,May,lbarrios@example.com,+34825983740,"5925 Reyes Extensions Apt. 307, North Carlbury, WA 74430",Allisonmouth,Belarús,2024-10-24,1950-09-02,O,Premium
78,Michael,Pascual,llanobrigida@example.org,(449)444-8460x62163,"Paseo Cayetano Aguirre 456 Puerta 8 , Huesca, 11333",Whitakerhaven,Brazil,2023-03-17,1983-02-13,O,Standard
79,David,Soto,kinglori@example.com,+34 849 197 311,"Via Verónica Peña 462 Apt. 51 , Salamanca, 22802",Larsonside,Panama,2022-02-23,1971-01-28,F,Basic
80,Stacey,Mccarthy,williamwilliams@example.org,001-425-412-8958x48477,"Calle Blas Soriano 85, Cáceres, 08552",Vizcaya,República Dominicana,2021-01-08,1984-08-20,M,Basic
81,Kayla,Ariño,mariana23@example.org,(306)210-8500x611,"1320 Morales Cove, South Tricia, ME 75720",North Karenmouth,Haití,2021-05-08,1956-04-05,F,Premium
82,Maricela,Holland,vhardy@example.com,976.233.8784,"Alameda Ulises Granados 68, Salamanca, 03808",Jaén,Sudán,2023-06-05,1985-11-18,M,Standard
83,Pepita,Bernard,peiroamor@example.net,+34943 72 21 30,"93733 Mckinney Points Apt. 277, New Annette, RI 91314",Lleida,San Marino,2023-08-21,1998-04-21,F,Standard
84,Adelardo,Garcia,samuellopez@example.net,+34 825 450 663,"C. de Socorro Colom 10 Apt. 85 , León, 46366",Castellón,Kiribati,2024-08-05,1956-02-27,O,Premium
85,Clímaco,Anderson,fordandrew@example.com,376-434-0696,"26485 Natasha Island, West Lisahaven, MS 63676",Murcia,Rumania,2020-08-29,1967-03-18,M,Premium
86,Claudia,Calderón,encarnacionfalco@example.org,+34 878 96 69 39,"Glorieta de Elvira Quesada 62 Puerta 6 , Navarra, 32416",New John,Eslovaquia,2021-12-22,1999-02-15,O,Standard
87,Brandon,Borrego,erin34@example.net,+34 982 960 119,"1586 Harris Stravenue Apt. 475, Samuelmouth, SC 99095",Segovia,República Checa,2023-08-22,1968-11-27,M,Premium
88,Ricarda,Farré,dionisio15@example.org,+34 826 24 72 64,"Ronda de Rolando Galindo 7 Piso 2 , Girona, 02384",Álava,Mozambique,2023-11-23,2005-12-09,F,Standard
89,Clímaco,Sanders,naciocalvo@example.net,+34 878620306,"Rambla Modesta Marqués 71, Vizcaya, 46626",Córdoba,Morocco,2022-08-13,1952-10-02,M,Premium
90,Marisela,Green,kking@example.net,(886)384-8443x55220,"Cañada Azahar Aliaga 47 Apt. 11 , Toledo, 48611",Cáceres,Suiza,2023-03-10,1996-08-23,F,Basic
91,Trinidad,Fowler,andreasilva@example.com,+34 920 224 500,"Alameda Román Aramburu 45 Apt. 29 , Almería, 22053",Burgos,Zambia,2020-07-12,1963-11-11,M,Premium
92,Visitación,Coll,bethunderwood@example.net,+34910 85 16 26,"Paseo Carmelo Asenjo 16 Puerta 7 , Melilla, 38794",Karenchester,Lithuania,2023-05-01,1946-03-30,M,Standard
93,Tecla,Osuna,feliciasalva@example.com,773.908.2456x42057,"3656 Charles Ville Suite 426, Lake Tanner, NY 56526",Guadalajara,Sri Lanka,2020-07-17,1984-08-29,M,Standard
94,Tyler,Cunningham,kevin56@example.com,(341)992-2569,"Ronda de Belen Cabrera 134 Puerta 5 , Cuenca, 01380",Lake Williamside,Bosnia y Herzegovina,2024-05-17,1977-08-11,O,Basic
95,Zachary,Domínguez,diana32@example.net,804.276.5504x593,"Unit 4411 Box 1077, DPO AE 47292",Albacete,República de Macedonia del Norte,2021-07-25,1956-10-07,M,Standard
96,Sarah,Miguel,ggalan@example.com,3364422988,"9063 Walker Turnpike Suite 024, Kellerland, ID 84834",Port Barbaraberg,Korea,2021-06-21,1978-03-18,F,Premium
97,William,Hall,stephaniepittman@example.org,001-374-415-1427x4242,"PSC 8824, Box 2334, APO AP 01570",Brooksland,Anguilla,2022-08-22,1991-04-12,M,Premium
98,Christopher,Griffin,patrickgarza@example.com,+34 883111173,"048 Brown Lodge, Port Albert, WV 94773",Málaga,España,2022-09-22,1988-06-04,M,Basic
99,Autumn,Arcos,jbrooks@example.com,+34 806 450 008,"991 Gregory Island, Susanbury, PR 78544",Gonzalezton,República Árabe Siria,2022-03-14,1950-12-30,O,Basic
100,Vasco,Rius,carpiopascual@example.net,+34 925049612,"Camino de Vito Lopez 149, Navarra, 09292",Melilla,Arabia Saudita,2021-06-16,1993-08-07,F,Basic
101,Dorita,Acedo,calderonanselma@example.net,+34924039115,"4089 Justin Grove Apt. 003, North Michaelland, AK 19679",Valencia,Sudáfrica,2024-11-07,1956-07-14,O,Premium
102,Aarón,Johnson,juanquerol@example.org,+1-367-689-2961x3759,"92289 Wilson Ports, East Hannah, RI 67567",Jaimeview,Kazakhstan,2023-12-23,1957-07-04,F,Standard
103,Laura,Donoso,haroldo33@example.net,482-815-9265x70187,"9797 Parsons Divide, West Leah, PA 37027",Port David,Poland,2024-04-09,1960-05-25,M,Premium
104,Imelda,Fletcher,fernandomiller@example.org,941.918.4308,"3912 Stewart Trafficway Apt. 680, Connieside, MO 95956",Hudsonchester,Islas Marshall,2022-04-07,1970-03-11,O,Standard
105,Manu,Reyes,melindarobinson@example.com,+34828 779 783,"PSC 8501, Box 9776, APO AP 89382",North Christinehaven,Mauricio,2022-11-16,1999-09-26,M,Basic
106,Melanie,Medina,vendrellmaria-fernanda@example.net,+34947 77 73 25,"Pasadizo de Dionisia Barreda 20 Apt. 62 , Cuenca, 40746",La Coruña,Timor-Leste,2023-02-14,1980-04-24,M,Standard
107,Timothy,Medina,uoliver@example.com,+34 872254048,"44068 Kelly Pass Suite 416, South Ryan, VT 50954",Murcia,Sierra Leone,2022-02-06,1965-03-04,O,Standard
108,Mark,Williams,tomasagata@example.net,(502)637-5812x435,"Paseo de Jordi Pellicer 28, Baleares, 31653",Karenchester,Líbano,2021-07-11,1972-09-12,O,Premium
109,Gracia,Holmes,padillaterri@example.org,(405)486-9681x3421,"93048 Luna Springs, Wardchester, AL 98999",Jameston,Liberia,2023-01-22,1989-01-04,M,Basic
110,Fausto,Compton,qbradley@example.net,001-247-269-3369,"USNV Taylor, FPO AE 02952",Justintown,Gambia,2022-03-25,1987-01-17,M,Standard
111,Vicente,Ponce,ishort@example.org,+34 988511954,"Calle de Olegario Coello 94 Puerta 3 , Girona, 31010",Jarvismouth,Bermuda,2021-06-20,1975-02-12,O,Premium
112,Paige,Aguilar,pastorcarlos@example.com,(531)817-5333,"Vial de Jovita Sanabria 71, Granada, 42007",South Lisa,Portugal,2024-07-19,1954-03-19,O,Basic
113,Soraya,Lynch,merinonorberto@example.com,921-209-4872x98787,"233 Christopher Mews Apt. 400, Lopezfurt, ND 59515",Patelton,Mongolia,2020-11-05,2002-02-11,M,Premium
114,David,Osuna,sanchoaguilera@example.net,+34985304883,"C. María Cristina Peinado 11 Apt. 49 , Jaén, 31800",Valladolid,Suecia,2020-11-12,1962-09-23,O,Standard
115,Heliodoro,Guillen,lbrown@example.com,+34 848 03 96 48,"21744 Lawson Passage Apt. 407, West Shaneton, SC 65286",Toledo,Estonia,2023-06-19,1949-11-03,O,Standard
116,Vasco,Hinton,jessica73@example.com,+34884 46 66 58,"Acceso Sol Cases 90 Piso 1 , Salamanca, 08127",New Carla,Lithuania,2021-10-02,1976-07-26,M,Basic
117,Ashley,Kelly,dukemichael@example.net,+1-884-535-8615,"Pasadizo Eliseo Echevarría 790, Alicante, 30472",East Michelle,Ghana,2020-08-15,1989-04-02,F,Standard
118,Michael,Miralles,llabreslara@example.com,+34841875701,"Calle Wilfredo Villaverde 98, Lugo, 06476",Toledo,Liechtenstein,2023-08-27,1966-12-12,F,Basic
119,Ofelia,Borrás,joel27@example.com,(347)299-1226x444,"Calle Aránzazu Diéguez 18, Álava, 11729",Vizcaya,Botswana,2024-07-18,1969-10-24,M,Standard
120,Marina,Grande,jcole@example.net,+34988 238 720,"Rambla de Matilde Carranza 93 Puerta 6 , Pontevedra, 21366",New Sarah,Barbados,2022-11-23,1965-02-18,F,Standard
121,Christopher,Villa,hramirez@example.com,+34926 99 21 55,"Paseo de Benigna Olmo 82 Puerta 0 , Badajoz, 30935",Santa Cruz de Tenerife,Guam,2021-04-15,1970-10-21,O,Premium
122,Margarita,Roberts,ssolis@example.net,+34 971 902 978,"Urbanización Marcelino Amador 96, Cuenca, 34522",Asturias,Belize,2024-11-11,1968-08-27,M,Standard
123,Elba,Sanz,ivalle@example.com,(362)588-8476x4323,"Cañada Maximiliano Muñoz 72, Zamora, 06184",North Charleshaven,Senegal,2021-12-10,1995-02-14,O,Basic
124,Mario,Cordova,greerdawn@example.net,(791)905-2862,"Plaza de Domingo Román 38 Apt. 35 , Castellón, 26464",Huesca,Granada,2022-03-01,1976-09-30,F,Basic
125,Laura,Castellanos,isabela83@example.com,+1-564-526-3891x7558,"86566 Catherine Oval Apt. 449, Matthewfort, MS 46700",West Steven,El Salvador,2022-07-26,1946-02-28,O,Premium
126,Sarita,Vaughn,jason75@example.com,645.465.7205,"C. Pilar Pascual 5, Sevilla, 04766",Victorshire,Gabón,2022-09-25,1990-12-09,F,Premium
127,Morgan,Robinson,teresita55@example.net,+1-456-668-4218,"8807 Jack Mall Apt. 878, South Kevin, MS 94259",South Gregoryberg,Netherlands Antilles,2023-11-04,1946-11-13,M,Premium
128,Courtney,Ayala,lucialeal@example.org,+34 873192407,"Glorieta Paca Sans 74 Puerta 4 , Cáceres, 51124",Teruel,Montserrat,2023-11-27,1957-02-10,O,Basic
129,Eloy,Revilla,carolina64@example.com,311-988-6260x42745,"Ronda Renato Segura 635, Girona, 47307",Segovia,Mauritania,2021-09-19,1945-03-05,O,Basic
130,Arcelia,Solera,ojohnson@example.org,+34983 56 67 48,"Alameda de María Jesús Balaguer 13, Soria, 28046",Ourense,Cote d'Ivoire,2022-09-29,1948-07-11,O,Basic
131,Bernardita,Nunez,uaragones@example.com,+34925 49 09 97,"30372 Nicole Prairie Apt. 211, Lake Johnny, IN 92541",Granada,Ethiopia,2023-01-30,1987-02-27,O,Premium
132,Samantha,Moya,dana19@example.com,(435)917-4768,"USNS Rivera, FPO AP 66199",Melilla,Dominican Republic,2022-09-14,1976-03-27,M,Standard
133,Andres,Tenorio,casandra44@example.com,+34884126374,"Via Joan Alfonso 7 Apt. 23 , Soria, 20455",Richbury,Turks and Caicos Islands,2024-03-07,1987-12-21,F,Standard
134,Lauren,Young,evita27@example.com,(843)624-8108x683,"6850 Esparza Skyway, New Maryborough, DE 02454",Ciudad,Botswana,2024-06-26,1959-12-03,F,Basic
135,Ariadna,Pedraza,secopatricia@example.net,+34 841 911 338,"Cañada Domitila Rivera 277 Piso 2 , Ourense, 48734",Bethview,Angola,2021-03-23,1974-10-12,M,Premium
136,Jose,Pedro,franchmaximiliano@example.com,(751)741-2018,"Unit 5487 Box 6348, DPO AA 23544",Arthurport,Eslovaquia,2024-01-30,1966-05-30,M,Standard
137,Paola,Armstrong,arnoldkelli@example.com,+34 910103603,"346 Scott Burg, Port Elizabethfort, MI 95355",North Derrick,Chile,2022-11-12,1992-08-21,F,Basic
138,Fito,Millán,baudelio88@example.org,+1-543-811-3937,"Callejón de Sebastian Boix 833 Puerta 7 , Granada, 09702",Jenniferfort,República Federal Democrática de Nepal,2020-10-01,1997-04-07,F,Basic
139,Macaria,Davis,jcasares@example.org,+34 985786677,"Acceso Toño Juan 26, Zaragoza, 14481",Sevilla,Países Bajos,2023-03-06,1968-08-03,O,Standard
140,Daniel,Bonilla,adadiachucho@example.net,(758)400-7290,"Pasadizo Chema Morera 1, Guadalajara, 48754",Arthurfurt,Botswana,2024-04-15,1951-02-02,F,Basic
141,John,Avilés,robertlopez@example.com,+34 843 758 113,"PSC 0897, Box 4274, APO AA 85099",Salamanca,Turkey,2020-09-04,1972-11-20,F,Premium
142,Jeffery,Wong,christopherbutler@example.com,244-920-4215x8273,"61800 Susan Keys, Port Markfort, RI 41374",Sevilla,Estados Unidos de América,2021-01-17,1961-11-30,F,Basic
143,Matthew,Chandler,mbravo@example.net,+34 915 49 90 72,"Plaza Charo Alcaraz 6, Soria, 37393",Stantonburgh,Vanuatu,2022-04-20,1985-12-09,F,Standard
144,Fabiola,Crespi,allentrevor@example.net,818-436-5849,"PSC 8187, Box 8624, APO AE 96164",Lake Annettefort,Japón,2024-11-24,2003-04-15,M,Basic
145,Leocadio,Hanson,nicholas44@example.org,+1-751-296-9478x4839,"Cuesta Marciano Arrieta 15 Apt. 94 , Huelva, 12999",Huesca,Armenia,2020-09-10,1994-04-05,F,Premium
146,Jimena,Bermejo,kowen@example.com,+1-415-305-4829x137,"85796 Moss Trafficway, North Linda, MA 90750",Ourense,Togo,2023-02-27,1944-10-21,M,Premium
147,Travis,Lopez,aaronelliott@example.com,+34729522209,"Cañada de Jose Carlos Márquez 508, Valencia, 26728",Aaronchester,Rwanda,2021-01-13,1961-08-31,F,Standard
148,Michael,Zavala,johnsonstephanie@example.net,(893)966-0336x967,"Rambla Gloria Luna 16 Puerta 2 , Baleares, 34868",Ourense,Korea,2024-09-07,1968-12-22,F,Standard
149,Bonnie,Serra,gibsonmark@example.net,+34822611611,"83138 Nathan Shoals Apt. 415, Smithstad, CO 45283",Girona,Irán,2024-06-21,1971-06-16,M,Premium
150,Ximena,Cantón,gonigil@example.com,+34937 85 44 71,"Calle de Matilde Lamas 3 Piso 6 , Ciudad, 25833",Ceuta,Peru,2021-06-09,1961-05-13,O,Premium
